tau,rho,top10,top25,mean_r2_imputed,k,observed,observed_idx
0.9132653061224488,0.9863265306122448,1.0,0.92,0.7519010424382143,3,"coding, language, math","(0, 3, 4)"
0.9234693877551019,0.9861224489795917,1.0,0.92,0.7500329875221099,3,"coding, language, reasoning","(0, 3, 5)"
0.8656462585034013,0.9663265306122447,1.0,0.92,0.698133305731402,3,"coding, math, reasoning","(0, 4, 5)"
0.8945578231292516,0.980408163265306,0.8,0.92,0.7557398729455512,3,"data_analysis, instruction_following, language","(1, 2, 3)"
0.9268707482993196,0.9881632653061224,1.0,1.0,0.8047780454541144,3,"data_analysis, instruction_following, math","(1, 2, 4)"
0.933673469387755,0.9909183673469387,0.8,0.92,0.8178345546858495,3,"data_analysis, instruction_following, reasoning","(1, 2, 5)"
0.9217687074829931,0.9896938775510203,0.9,0.96,0.7736275181202444,3,"data_analysis, language, math","(1, 3, 4)"
0.9081632653061223,0.9851020408163265,0.8,0.92,0.7633291072586026,3,"data_analysis, language, reasoning","(1, 3, 5)"
0.9132653061224488,0.9846938775510202,1.0,0.96,0.7562855409593632,3,"data_analysis, math, reasoning","(1, 4, 5)"
0.9319727891156461,0.9917346938775509,1.0,1.0,0.8340178007308906,3,"instruction_following, language, math","(2, 3, 4)"
0.9183673469387754,0.9861224489795917,0.9,0.92,0.822996163357209,3,"instruction_following, language, reasoning","(2, 3, 5)"
0.9319727891156461,0.990204081632653,0.9,1.0,0.8177648103340177,3,"instruction_following, math, reasoning","(2, 4, 5)"
0.9251700680272108,0.9909183673469387,1.0,0.96,0.767274727076431,3,"language, math, reasoning","(3, 4, 5)"
0.9421768707482993,0.9930612244897958,0.9,0.96,0.8576608710635334,4,"coding, data_analysis, instruction_following, language","(0, 1, 2, 3)"
0.9506802721088435,0.9935714285714285,1.0,1.0,0.7797275575234757,4,"coding, data_analysis, instruction_following, math","(0, 1, 2, 4)"
0.9625850340136053,0.9964285714285713,0.9,1.0,0.8443093590364288,4,"coding, data_analysis, instruction_following, reasoning","(0, 1, 2, 5)"
0.9098639455782312,0.9866326530612245,0.9,0.96,0.7182190975047908,4,"coding, data_analysis, language, math","(0, 1, 3, 4)"
0.9319727891156461,0.9904081632653059,0.9,0.96,0.7542275827783178,4,"coding, data_analysis, language, reasoning","(0, 1, 3, 5)"
0.9149659863945576,0.9846938775510202,0.9,0.96,0.6824421069137645,4,"coding, data_analysis, math, reasoning","(0, 1, 4, 5)"
0.9404761904761904,0.9928571428571427,1.0,1.0,0.8183568176560201,4,"coding, instruction_following, language, math","(0, 2, 3, 4)"
0.9472789115646257,0.9912244897959184,1.0,0.96,0.8520287994714983,4,"coding, instruction_following, language, reasoning","(0, 2, 3, 5)"
0.9319727891156461,0.990204081632653,1.0,1.0,0.7708788041407084,4,"coding, instruction_following, math, reasoning","(0, 2, 4, 5)"
0.9302721088435374,0.9908163265306121,1.0,0.96,0.6960027344776647,4,"coding, language, math, reasoning","(0, 3, 4, 5)"
0.9421768707482993,0.993469387755102,1.0,1.0,0.8301025462703138,4,"data_analysis, instruction_following, language, math","(1, 2, 3, 4)"
0.9353741496598639,0.9909183673469387,0.8,0.92,0.8296386653135265,4,"data_analysis, instruction_following, language, reasoning","(1, 2, 3, 5)"
0.9625850340136053,0.9963265306122447,0.9,1.0,0.8346386193292403,4,"data_analysis, instruction_following, math, reasoning","(1, 2, 4, 5)"
0.9438775510204082,0.9932653061224489,1.0,0.96,0.7473089971083062,4,"data_analysis, language, math, reasoning","(1, 3, 4, 5)"
0.9523809523809522,0.9945918367346939,1.0,1.0,0.8542499937365562,4,"instruction_following, language, math, reasoning","(2, 3, 4, 5)"
0.9608843537414964,0.9957142857142857,1.0,1.0,0.8027153894196146,5,"coding, data_analysis, instruction_following, language, math","(0, 1, 2, 3, 4)"
0.9727891156462584,0.9968367346938775,0.9,0.96,0.8949740209726414,5,"coding, data_analysis, instruction_following, language, reasoning","(0, 1, 2, 3, 5)"
0.9778911564625848,0.9983673469387754,1.0,1.0,0.7735330728352097,5,"coding, data_analysis, instruction_following, math, reasoning","(0, 1, 2, 4, 5)"
0.9438775510204082,0.9924489795918368,1.0,0.96,0.6004246313906257,5,"coding, data_analysis, language, math, reasoning","(0, 1, 3, 4, 5)"
0.9591836734693877,0.9956122448979591,1.0,1.0,0.80938325029919,5,"coding, instruction_following, language, math, reasoning","(0, 2, 3, 4, 5)"
0.9795918367346937,0.9982653061224489,1.0,1.0,0.8914320064102922,5,"data_analysis, instruction_following, language, math, reasoning","(1, 2, 3, 4, 5)"
